"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","FC","FD","FF","FS","G","I","PE","RB","A","GC","SG","FT","DD","GS","CV","PP","DP"
"63","Moisés Lima Magalhães","Moisés","https://s.glbimg.com/es/sde/f/2016/05/01/3fe5f1275a99225b025f211e3c3b35e9_FORMATO.png",63158,10,"PAL","mei","Provável",6,8.91,0.22,4.45,10,2,7,7,10,11,1,NA,37,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Luan Madson Gedeão De Paiva","Luan","https://s.glbimg.com/es/sde/f/2016/04/26/1d1efe08d34f3bdd71149b3c364d402c_FORMATO.png",63219,10,"ATL","ata","Contundido",0,12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Carlos Emiliano Pereira","Carlinhos","https://s.glbimg.com/es/sde/f/2016/04/28/604ed4729919dd13bb0cefb06b386893_FORMATO.png",63194,10,"COR","lat","Provável",3.9,12.3,0.46,3.06,7,1,14,NA,NA,21,NA,NA,24,13,NA,NA,1,NA,NA,NA,NA,NA,NA
"66","Lucca Borges Brito","Lucca","https://s.glbimg.com/es/sde/f/2016/04/28/fcb4a31eaeed96a5abb3056b698207d1_FORMATO.png",61149,10,"COR","ata","Nulo",7.2,8.53,1.09,4.35,4,NA,6,NA,6,3,2,NA,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Wallyson Ricardo Maciel Monteiro","Wallyson","https://s.glbimg.com/es/sde/f/2016/05/01/34369068ebb6def83baf9b6dad8c09d3_FORMATO.png",62127,10,"STC","ata","Nulo",-0.5,1.29,-0.21,0.19,10,2,6,2,NA,5,NA,1,23,4,1,NA,NA,NA,NA,NA,NA,NA,NA
"68","Diego Renan de Lima Ferreira","Diego Renan","https://s.glbimg.com/es/sde/f/2016/05/01/09f644d5efca4986858238e63fa860a5_FORMATO.png",68725,10,"VIT","lat","Provável",13.8,12.77,2.16,5.49,9,3,13,5,7,13,1,NA,45,20,2,NA,NA,2,NA,NA,NA,NA,NA
"69","Guilherme de Aguiar Camacho","Camacho","https://s.glbimg.com/es/sde/f/2011/09/21/fecac7f178cfadbedc5b4f48b05018b5_FORMATO.jpeg",68770,10,"COR","mei","Nulo",0,3.9,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Emiliano Gabriel Vecchio","Vecchio",NA,68745,10,"SAN","mei","Nulo",0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Johnathan Aparecido da Silva","Johnathan Goiano","https://s.glbimg.com/es/sde/f/2016/05/01/ad77cb27868eb39560d27f1ae0a28e5c_FORMATO.png",68779,10,"SPO","ata","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Alan Patrick Lourenço","Alan Patrick","https://s.glbimg.com/es/sde/f/2016/04/20/01b3feceb08b420b3a5259bf8c157951_FORMATO.png",68685,10,"FLA","mei","Provável",7.9,11.97,0.85,4.7,10,NA,6,8,5,22,2,1,38,7,3,NA,NA,NA,NA,NA,NA,1,NA
