"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","FC","FS","PE","RB","SG","FF","DD","GS","FD","G","A","FT","I","PP","CV","GC","DP"
"178","Keiller da Silva Nunes","Keiller","https://s.glbimg.com/es/sde/f/2016/04/30/27a59f8c22b27ce18864677f39ede22a_FORMATO.png",93834,11,"INT","gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Danylo Fernandes Soares","Danylo Fernandes","https://s.glbimg.com/es/sde/f/2016/05/09/d3a75a8602cb0b8280503d0135270b23_FORMATO.png",93884,11,"AME","lat","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Lucas Luiz Scalon","Scalon","https://s.glbimg.com/es/sde/f/2016/05/09/b119d2bddf0c1d9bdba7a3ad69bbaa24_FORMATO.jpeg",94003,11,"CHA","zag","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Guilherme Gianotti Morassi","Guilherme Morassi","https://s.glbimg.com/es/sde/f/2016/03/31/84a418b365c77f1a599844c98d630d32_FORMATO.png",94013,11,"FIG","lat","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Matheus Leonardo Sales Cardoso","Matheusinho","https://s.glbimg.com/es/sde/f/2016/05/09/ffb5011da1ab75ebc1ade153dd6b37b1_FORMATO.png",93886,11,"AME","mei","Nulo",0,2.28,0,0.45,2,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Kaike Silva Mendes","Kaike","https://s.glbimg.com/es/sde/f/2016/04/30/eda437dba946f4c78406fdb01f3c70a5_FORMATO.png",93835,11,"INT","lat","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Andrei Alba","Andrei","https://s.glbimg.com/es/sde/f/2016/04/27/2596d4746edbed226b3597a2391f7c23_FORMATO.png",94004,11,"CHA","mei","Nulo",0,2.07,0,-0.9,1,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","John Victor Maciel Furtado","John Victor","https://s.glbimg.com/es/sde/f/2016/05/01/c1b4a2668433c14055e715bd223d2ced_FORMATO.png",94044,11,"SAN","gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Lucas Oliveira de França","Lucas França","https://s.glbimg.com/es/sde/f/2016/04/29/14aa30db9557f9ceff03aade842303eb_FORMATO.png",93869,11,"CRU","gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Matheus Fernandes Siqueira","Matheus Fernandes","https://s.glbimg.com/es/sde/f/2016/04/27/89aa4c949b4487f412aa063ca7db4bc4_FORMATO.png",94067,11,"BOT","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Lucas Ribamar Lopes dos Santos Bibiano","Ribamar","https://s.glbimg.com/es/sde/f/2016/05/20/c2b2ff7808695647ee0d6a0124a9df42_FORMATO.png",94068,11,"BOT","ata","Nulo",1.4,6.98,0.18,1.48,11,1,10,13,10,5,NA,4,NA,NA,5,1,NA,NA,9,NA,NA,NA,NA
"189","Diego Gomes dos Santos","Diego Gomes","https://s.glbimg.com/es/sde/f/2016/05/01/f392eee84b1739e345e9b45a514b398e_FORMATO.jpeg",94045,11,"SAN","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Lucas Ferreira Amaral","Lucas Ferreira","https://s.glbimg.com/es/sde/f/2016/05/01/a38c7b2a46cf04e24085ad1f45ce78bc_FORMATO.png",94147,11,"SPO","gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Thallyson Gabriel Lobo Seabra","Thallyson",NA,94144,11,"SPO","ata","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Marcos do Nascimento Teixeira","Marcão","https://s.glbimg.com/es/sde/f/2015/03/04/8e31188bc019c51828bdbdf9d97ebefb_FORMATO.png",87267,11,"ATL","zag","Nulo",5,2.68,0.68,5,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Luiz Miller dos Santos Silva","Luiz Miller","https://s.glbimg.com/es/sde/f/2016/05/01/07a0c81156c35ffc3aa26adc06a9a5e2_FORMATO.png",94143,11,"STC","gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Walter Henrique da Silva","Walter","https://s.glbimg.com/es/sde/f/2016/04/26/a7c5e9f33d2d3830a07c35ba1ce1b902_FORMATO.png",62128,11,"ATL","ata","Dúvida",-1.5,7.05,-0.12,0.54,11,2,25,7,34,3,NA,5,NA,NA,7,1,1,1,6,NA,NA,NA,NA
