"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","FS","PE","DD","GS","SG","FC","FD","FF","FT","G","I","CA","RB","A","CV","GC","PP","DP"
"48","Edílson Mendes Guimarães","Edílson","https://s.glbimg.com/es/sde/f/2016/05/20/eeb7e05e53591c540ca7736a40700ac0_FORMATO.jpeg",38523,4,284,"lat","Provável",4.4,9.78,-0.07,7.3,3,3,19,NA,NA,3,9,2,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA
"49","Douglas dos Santos","Douglas","https://s.glbimg.com/es/sde/f/2016/04/30/769e4a5d5c29aacc6485e57746072683_FORMATO.png",38738,4,284,"mei","Provável",-0.9,6.41,-0.61,-1.33,3,2,13,NA,NA,NA,3,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"50","Cleiton Ribeiro Xavier","Cleiton Xavier","https://s.glbimg.com/es/sde/f/2016/05/01/5cb6787323010c1ede0ce214b83bd2c9_FORMATO.png",38530,4,275,"mei","Dúvida",0,15.62,0,2.67,3,2,13,NA,NA,NA,4,1,1,NA,NA,1,NA,1,2,NA,NA,NA,NA
"51","Matheus Ferraz Pereira","Matheus Ferraz","https://s.glbimg.com/es/sde/f/2016/05/01/ee9c9754f977b8bf74b59867238b6618_FORMATO.png",38632,4,292,"zag","Provável",-1.4,3.41,-1.59,-1.4,1,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Rodrigo Marcos dos Santos","Rodrigo Mancha","https://s.glbimg.com/es/sde/f/2016/05/01/28ca1fbce7ff092e6eebee52283a14f2_FORMATO.png",38579,4,292,"mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Nílton Ferreira Júnior","Nilton","https://s.glbimg.com/es/sde/f/2016/04/30/249fed612a2888df8575c1a9be60b53a_FORMATO.png",38573,4,285,"mei","Nulo",0,4.5,0,1.45,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"54","Renato Dirnei Florêncio","Renato","https://s.glbimg.com/es/sde/f/2016/05/01/49909c7b610545598b92f0e07bdee08e_FORMATO.png",38908,4,277,"mei","Provável",-0.1,12.17,-0.96,3.25,4,3,10,NA,NA,NA,2,NA,1,NA,1,NA,NA,4,NA,NA,NA,NA,NA
"55","Anderson Luís de Abreu Oliveira","Anderson","https://s.glbimg.com/es/sde/f/2016/04/30/782b68bfa6a0e5f34271aa9a00e550be_FORMATO.png",38852,4,285,"mei","Contundido",0,16,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Ricardo de Oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2016/05/01/04f2207e667b88e15a5ccdc893894a1f_FORMATO.png",38910,4,277,"ata","Contundido",0,28,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Leandro Luchese Guerreiro","Leandro Guerreiro","https://s.glbimg.com/es/sde/f/2016/05/09/9fcbb33c340908edfdb650fe7c281ed4_FORMATO.png",38822,4,327,"mei","Provável",2.4,3.26,0.59,0.8,4,NA,18,NA,NA,NA,6,NA,NA,NA,NA,NA,1,8,NA,NA,NA,NA,NA
"58","Alexandro Silva de Souza","Dudu Cearense","https://s.glbimg.com/es/sde/f/2016/05/31/d0af15bf90b7d6ddd70ea29214519277_FORMATO.png",38928,4,263,"mei","Dúvida",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Leandro Domingues Barbosa","Leandro Domingues","https://s.glbimg.com/es/sde/f/2016/05/01/229b055bfda96bb451ff23fa36f34c4e_FORMATO.png",39144,4,287,"mei","Nulo",1.4,7.89,0.05,3.42,4,6,5,NA,NA,NA,4,NA,NA,NA,1,1,NA,1,1,NA,NA,NA,NA
"60","Rafael Marques Mariano","Rafael Marques","https://s.glbimg.com/es/sde/f/2016/05/01/65ba6d104f9bf5f59b41bf5d109d9d3f_FORMATO.png",38957,4,275,"ata","Nulo",-2.1,6.76,-1.73,1.17,3,NA,4,NA,NA,NA,2,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA
"61","Vagner Carmo Mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2016/05/01/96e491504eed845c49686d39f3ce056b_FORMATO.png",39850,4,287,"tec","Provável",5.09,4.84,1.13,3.01,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Jonas Jessué da Silva Júnior","Jonas","https://s.glbimg.com/es/sde/f/2016/05/09/12665443037abe696b9b0e8b793b4b9d_FORMATO.png",39152,4,327,"lat","Contundido",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Givanildo José de Oliveira","Givanildo Oliveira","https://s.glbimg.com/es/sde/f/2016/05/09/ae39e06fa42f6f7a31f44ec51a81fba6_FORMATO.png",39431,4,327,"tec","Provável",4.06,5.26,0.83,2.07,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Kleber Giacomace de Souza Freitas","Kleber","https://s.glbimg.com/es/sde/f/2016/04/28/3d30ea7a106ec16adcd2d114cd81b8ef_FORMATO.png",40179,4,294,"ata","Suspenso",-1.4,17.03,-1.98,2.97,4,12,8,NA,NA,NA,11,NA,3,NA,2,NA,3,1,NA,NA,NA,NA,NA
"65","Alessandro Beti Rosa","Magrão","https://s.glbimg.com/es/sde/f/2016/05/01/92fb599635a635bc3681d6d69f04489c_FORMATO.png",41218,4,292,"gol","Provável",4.4,8.11,0.51,3.35,4,NA,2,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Levir Culpi","Levir Culpi","https://s.glbimg.com/es/sde/f/2016/04/29/ae267a00ae891c3954a903d5883dd354_FORMATO.png",40025,4,266,"tec","Provável",6.47,12.58,1.14,3.94,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Rodrigo Pimpão Viana","Rodrigo Pimpão","https://s.glbimg.com/es/sde/f/2016/05/13/9e43cab2a917beef66b9e2d58f1b5abf_FORMATO.png",68901,4,263,"ata","Nulo",0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Dorival Silvestre Júnior","Dorival Júnior","https://s.glbimg.com/es/sde/f/2016/05/02/7c83e1833235983b8ce68b95d5c5ca75_FORMATO.png",40990,4,277,"tec","Provável",1.83,8.8,-0.27,2.28,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Egídio de Araújo Pereira Júnior","Egídio","https://s.glbimg.com/es/sde/f/2016/05/01/208f53e7054acabd7a229fe523f020bf_FORMATO.png",42145,4,275,"lat","Provável",0,19.73,0,5.73,3,5,16,NA,NA,2,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
"70","Fernando Paixão da Silva","Fernando Bob","https://s.glbimg.com/es/sde/f/2016/04/30/2d7884d092837e8a2431feb597c5649c_FORMATO.png",42213,4,285,"mei","Provável",7,13.38,0.94,4.65,4,6,16,NA,NA,NA,15,1,NA,NA,NA,NA,1,17,NA,NA,NA,NA,NA
"71","Ricardo Gomes Raymundo","Ricardo Gomes","https://s.glbimg.com/es/sde/f/2016/05/22/2aa55bb880d01167a216961ab65a3245_FORMATO.png",41273,4,263,"tec","Provável",2.03,7.6,-0.42,3.78,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Willian Gomes de Siqueira","Willian","https://s.glbimg.com/es/sde/f/2016/04/29/ebeec9645240ab968fdbbb15f61f93e6_FORMATO.png",42116,4,283,"ata","Provável",6.1,14.08,0.75,3.23,4,7,5,NA,NA,NA,4,6,4,NA,NA,2,NA,3,NA,NA,NA,NA,NA
"73","Cássio Ramos","Cássio","https://s.glbimg.com/es/sde/f/2016/04/28/8d0f1d77fad8f00513e096df10da46e2_FORMATO.png",42234,4,264,"gol","Nulo",0,25,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Osvaldo Lourenço Filho","Osvaldo","https://s.glbimg.com/es/sde/f/2016/04/29/a8b9e1fa95ea371a1fe20b43399b8389_FORMATO.png",42222,4,266,"ata","Nulo",0,6.81,0,1.73,3,2,7,NA,NA,NA,2,1,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA
"75","William José de Souza","Amaral","https://s.glbimg.com/es/sde/f/2016/05/09/ebb1dc3dea737d824b387593ac26e716_FORMATO.jpeg",42232,4,294,"mei","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Danny Bittencourt Morais","Danny Morais","https://s.glbimg.com/es/sde/f/2016/05/01/d58fc02548731386b20009a3a1d294ef_FORMATO.png",42247,4,344,"zag","Provável",-0.9,0.77,0,-1.22,4,NA,8,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Alexi Stival","Cuca","https://s.glbimg.com/es/sde/f/2016/05/01/ffe92c9e05e8100cdb59ce176a5352f5_FORMATO.png",42411,4,275,"tec","Provável",1.41,12.72,-1,3.75,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Fagner Conserva Lemos","Fagner","https://s.glbimg.com/es/sde/f/2016/04/28/5d7d807595168812606d2dcce7462db9_FORMATO.png",42500,4,264,"lat","Provável",6.6,26.08,-0.86,10.78,4,7,21,NA,NA,3,3,NA,1,NA,1,NA,NA,11,1,NA,NA,NA,NA
"79","Bruno Vieira do Nascimento","Bruno","https://s.glbimg.com/es/sde/f/2016/05/01/d2edee13739b924fb1847c5369f28455_FORMATO.png",42499,4,276,"lat","Provável",11.4,9.25,2.62,4.33,3,3,11,NA,NA,1,4,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA
"80","Adenor Leonardo Bachi","Tite","https://s.glbimg.com/es/sde/f/2016/05/24/a668062aeb16e3694f688b0b293538af_FORMATO.png",45125,4,264,"tec","Provável",6.37,15.01,0.52,4.92,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Ernando Rodrigues Lopes","Ernando","https://s.glbimg.com/es/sde/f/2016/04/30/4281780d649686f58d2350aa3f372023_FORMATO.png",49651,4,285,"zag","Provável",5.2,10.58,0.27,4.7,4,NA,8,NA,NA,3,2,NA,1,NA,NA,NA,1,5,NA,NA,NA,NA,NA
