,atletas.clube.id.full.name,atletas.nome,atletas.pontos_num,atletas.apelido_abreviado,atletas.status_id,atletas.minimo_para_valorizar,atletas.media_num,atletas.clube_id,atletas.atleta_id,atletas.posicao_id,atletas.entrou_em_campo,atletas.foto,atletas.rodada_id,atletas.jogos_num,atletas.preco_num,atletas.apelido,atletas.slug,atletas.variacao_num,DS,FC,FF,FS,SG,FT,G,I,A,CA,FD,DE,CV,GS,PP,PS,PC,V,DP,GC
56,São Paulo,Lucas Rodrigues Moura da Silva,0.0,L. Moura,5,,0.0,276,70164,4,False,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,5,0,16.0,Lucas Moura,lucas-moura,0.0,,,,,,,,,,,,,,,,,,,,
57,Botafogo,Rafael Pereira da Silva,0.0,Rafael,5,,0.0,263,70171,2,False,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,5,0,3.0,Rafael,rafael,0.0,,,,,,,,,,,,,,,,,,,,
58,Grêmio,Fábio Pereira da Silva,0.0,Fábio,6,,4.8,284,70172,2,False,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,5,3,6.61,Fábio,fabio,0.0,2.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,,
59,Criciúma,Luiz Gustavo de Almeida Pinto,0.0,Gustavo,6,,15.0,288,70216,1,False,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,5,1,7.74,Gustavo,gustavo,0.0,,,,,1.0,,,,,,,3.0,,,,,,,1.0,
60,Vitória,Bruno Uvini Bortolança,-1.3,B. Uvini,7,,0.23,287,70221,3,True,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,5,3,2.57,Bruno Uvini,bruno-uvini,-0.71,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,
61,Grêmio,Diego da Silva Costa,0.0,D. Costa,3,,1.0,284,70316,5,False,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,5,2,6.25,Diego Costa,diego-costa,0.0,2.0,,,3.0,,,,1.0,,,1.0,,1.0,,,,,,,
62,Grêmio,Agustín Federico Marchesín,0.0,Marchesín,6,,4.0,284,70332,1,False,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,5,3,6.66,Marchesín,marchesin,0.0,,,,,2.0,,,,,,,4.0,,2.0,,,,,,
63,Bragantino,Eduardo Colcenti Antunes,1.9,E. Sasha,7,,5.3,280,70360,5,True,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,5,5,9.1,Eduardo Sasha,eduardo-sasha,-1.06,3.0,5.0,2.0,6.0,,,2.0,,,1.0,4.0,,,,,,,,,
64,Juventude,Gabriel Vasconcelos Ferreira,0.0,Gabriel,7,,1.75,286,70449,1,False,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,5,4,3.81,Gabriel,gabriel,0.0,,,,2.0,1.0,,,,,2.0,,10.0,,7.0,,,,,,
65,Cuiabá,Marllon Gonçalves Jerônimo Borges,3.6,Marllon,6,,1.78,1371,70666,3,True,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,5,4,3.74,Marllon,marllon,0.5,6.0,1.0,,2.0,,,,,,1.0,1.0,,,,,,1.0,,,
66,Internacional,Enner Remberto Valencia Lastra,0.0,E. Valencia,6,,0.0,285,70788,5,False,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,5,0,17.0,Enner Valencia,enner-valencia,0.0,,,,,,,,,,,,,,,,,,,,
67,Fluminense,Diogo Barbosa Mendanha,-1.0,D. Barbosa,6,,-1.3,266,70916,2,False,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,5,1,3.85,Diogo Barbosa,diogo-barbosa,-0.15,,1.0,,,,,,,,1.0,,,,,,,,,,
68,Internacional,Bruno Henrique Corsini,0.0,B. Henrique,7,,3.57,285,70944,4,False,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,5,4,6.48,Bruno Henrique,bruno-henrique,0.0,8.0,7.0,1.0,2.0,,,,,1.0,,,,,,,,,,,
69,Juventude,Jean Carlos Vicente,0.0,J. Carlos,5,,8.5,286,70958,4,False,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,5,3,9.85,Jean Carlos,jean-carlos,0.0,3.0,2.0,1.0,1.0,,,2.0,,1.0,1.0,1.0,,,,,,,,,
70,Vasco,Florent Dimitri Payet,0.0,Payet,6,,4.2,267,70984,4,False,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,5,1,5.58,Payet,payet,0.0,1.0,,,,,1.0,,,,,,,,,,,,,,
71,Atlético-GO,Pedro Henrique Pereira da Silva,0.0,P. Henrique,6,,1.85,373,71038,3,False,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,5,2,3.13,Pedro Henrique,pedro-henrique,0.0,3.0,2.0,,1.0,,,,,,1.0,1.0,,,,,,,,,
72,Vasco,Maicon Pereira Roque,2.1,Maicon,7,,1.13,267,71227,3,True,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,5,4,3.49,Maicon,maicon,0.04,2.0,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,
73,São Paulo,Luiz Gustavo Dias,0.0,L. Gustavo,6,,0.0,276,71536,4,False,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,5,0,6.0,Luiz Gustavo,luiz-gustavo,0.0,,,,,,,,,,,,,,,,,,,,
74,Palmeiras,Weverton Pereira da Silva,6.0,Weverton,7,,6.0,275,71631,1,True,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,5,5,11.99,Weverton,weverton,-0.36,,,,,4.0,,,,,1.0,,12.0,,1.0,,,,,,
75,Vitória,Raúl Alejandro Cáceres Bogado,0.0,R. Cáceres,6,,0.0,287,71680,2,False,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,5,0,3.0,Raúl Cáceres,raul-caceres,0.0,,,,,,,,,,,,,,,,,,,,
76,Palmeiras,Gustavo Raúl Gómez Portillo,6.2,G. Gómez,7,,4.0,275,71684,3,True,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,5,4,9.89,Gustavo Gómez,gustavo-gomez,0.09,3.0,9.0,2.0,1.0,3.0,,,2.0,,2.0,1.0,,,,,,1.0,,,
77,Bahia,Santiago Arias Naranjo,3.7,S. Arias,7,,3.08,265,71701,2,True,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,5,4,5.81,Santiago Arias,santiago-arias,-0.07,4.0,4.0,1.0,8.0,1.0,,,1.0,,1.0,,,,,,,,,,
78,Fluminense,Gabriel Appelt Pires,0.0,G. Pires,5,,0.0,266,71898,4,False,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,5,0,4.0,Gabriel Pires,gabriel-pires,0.0,,,,,,,,,,,,,,,,,,,,
79,Atlético-MG,Everson Felipe Marques Pires,0.0,Everson,7,,4.0,282,72294,1,True,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,5,5,9.62,Everson,everson,-1.51,,,,2.0,3.0,,,,,1.0,,8.0,,3.0,,,,,,
80,Fluminense,Felipe Alves Raymundo,0.0,F. Alves,6,,0.0,266,72372,1,False,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_e9UBywD.png,5,0,5.0,Felipe Alves,felipe-alves,0.0,,,,,,,,,,,,,,,,,,,,
81,Fluminense,Fernando Diniz Silva,5.23,F. Diniz,7,,5.12,266,72391,6,True,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_dcBENR5.png,5,4,10.71,Fernando Diniz,fernando-diniz,-0.07,,,,,,,,,,,,,,,,,,1.0,,
82,Atlético-GO,Gustavo Campanharo,0.0,G. Campanharo,6,,0.0,373,72497,4,False,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_XGJ1uLI.png,5,0,5.0,Gustavo Campanharo,gustavo-campanharo,0.0,,,,,,,,,,,,,,,,,,,,
83,Atlético-GO,Magno José da Silva,0.0,Maguinho,7,,1.7,373,72532,2,False,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_204au3d.png,5,3,3.97,Maguinho,maguinho,0.0,3.0,,,1.0,,,,,1.0,,,,1.0,,,,1.0,,,
84,Corinthians,Pedro Henrique Konzen Medina da Silva,0.0,P. Henrique,5,,1.4,264,72583,5,False,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_sB7v4Fv.png,5,2,5.32,Pedro Henrique,pedro-henrique,0.0,2.0,1.0,1.0,2.0,,,,1.0,,1.0,,,,,,,,,,
85,Fortaleza,Maurício Kozlinski,0.0,M. Kozlinski,6,,0.0,356,72595,1,False,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_EePQ79Y.png,5,0,3.0,Maurício Kozlinski,mauricio-kozlinski,0.0,,,,,,,,,,,,,,,,,,,,
