,atletas.posicao_id,atletas.slug,atletas.atleta_id,atletas.preco_num,atletas.foto,atletas.minimo_para_valorizar,atletas.clube.id.full.name,atletas.media_num,atletas.entrou_em_campo,atletas.apelido_abreviado,atletas.status_id,atletas.pontos_num,atletas.nome,atletas.variacao_num,atletas.rodada_id,atletas.jogos_num,atletas.apelido,atletas.clube_id,A,DS,FC,FD,FS,FT,V,CA,CV,FF,G,I,SG,DE,GS,PP,PS,PC,GC,DP
50,4,james-rodriguez,69063,4.84,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_o41O8I9.png,,São Paulo,-0.05,False,J. Rodríguez,6,0.0,James David Rodríguez Rubio,0.0,17,2,James Rodríguez,276,,,,,,,,,,,,1.0,,,,,,,,
51,5,vargas,69102,6.03,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,,Atlético-MG,4.83,True,Vargas,6,2.9,Eduardo Jesús Vargas Rojas,-0.96,17,10,Vargas,282,,3.0,2.0,4.0,7.0,,,,,4.0,4.0,2.0,,,,,2.0,,,
52,5,pablo,69138,5.84,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,,Athlético-PR,2.27,False,Pablo,7,0.0,Pablo Felipe Teixeira,0.0,17,14,Pablo,293,1.0,5.0,16.0,3.0,4.0,1.0,,4.0,,6.0,2.0,,,,,,,,,
53,4,allan,69140,8.0,https://s.sde.globo.com/media/person_role/2024/07/01/photo_FORMATO_Of1BDT1.png,,Botafogo,0.0,False,Allan,6,0.0,Allan Marques Loureiro,0.0,17,0,Allan,263,,,,,,,,,,,,,,,,,,,,
54,3,pablo,69165,3.22,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,,Botafogo,0.0,False,Pablo,6,0.0,Pablo Nascimento Castro,0.0,17,1,Pablo,263,,,,,,,,,,,,,,,,,,,,
55,4,aranguiz,69325,3.76,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_NLgDxgG.png,,Internacional,0.53,False,Aránguiz,5,0.0,Charles Mariano Aránguiz Sandoval,0.0,17,7,Aránguiz,285,,2.0,12.0,2.0,3.0,1.0,,2.0,,,,,,,,,,,,
56,5,joao-pedro-galvao,69686,3.06,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_Trda9pv.png,,Grêmio,1.0,False,J. Galvão,6,0.0,João Pedro Geraldino dos Santos Galvão,0.0,17,11,João Pedro Galvão,284,,2.0,13.0,3.0,15.0,,,1.0,,3.0,,,,,,,,,,
57,4,nikao,69705,8.81,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_k9LXARi.png,,Athlético-PR,5.32,False,Nikão,5,0.0,Maycon Vinícius Ferreira da Cruz,0.0,17,9,Nikão,293,,13.0,1.0,6.0,19.0,,,,,10.0,1.0,1.0,,,,,,,,
58,4,lucas-moura,70164,14.62,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,,São Paulo,6.16,True,L. Moura,7,9.7,Lucas Rodrigues Moura da Silva,-0.22,17,11,Lucas Moura,276,1.0,17.0,13.0,3.0,19.0,,,2.0,,4.0,4.0,,,,,,,,,
59,2,rafael,70171,3.0,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,,Botafogo,0.0,False,Rafael,5,0.0,Rafael Pereira da Silva,0.0,17,0,Rafael,263,,,,,,,,,,,,,,,,,,,,
