,atletas.minimo_para_valorizar,atletas.posicao_id,atletas.clube_id,atletas.slug,atletas.apelido,atletas.atleta_id,atletas.pontos_num,atletas.variacao_num,atletas.rodada_id,atletas.media_num,atletas.clube.id.full.name,atletas.apelido_abreviado,atletas.jogos_num,atletas.entrou_em_campo,atletas.foto,atletas.status_id,atletas.nome,atletas.preco_num,DS,FC,FD,FF,FS,G,I,CA,FT,A,SG,PP,CV,PC,PS,GC,V,DE,GS,DP
57,,5,280,eduardo-sasha,Eduardo Sasha,70360,16.3,1.18,37,5.01,Bragantino,E. Sasha,24,True,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,7,Eduardo Colcenti Antunes,10.2,9.0,17.0,17.0,17.0,34.0,7.0,4.0,7.0,1.0,3.0,,,1.0,,,,,,,
58,,1,286,gabriel,Gabriel,70449,-1.0,-0.09,37,1.99,Juventude,Gabriel,28,True,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,3,Gabriel Vasconcelos Ferreira,3.46,,1.0,,,4.0,,,5.0,,,4.0,,1.0,1.0,,,,85.0,42.0,
59,,4,275,felipe-anderson,Felipe Anderson,70592,4.9,-0.23,37,5.12,Palmeiras,F. Anderson,18,True,https://s.sde.globo.com/media/person_role/2024/07/08/photo_FORMATO_pq8QjaQ.png,7,Felipe Anderson Pereira Gomes,9.28,40.0,10.0,5.0,8.0,11.0,2.0,1.0,,1.0,2.0,,,,,,,,,,
60,,3,1371,marllon,Marllon,70666,0.0,0.0,37,2.8,Cuiabá,Marllon,28,False,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,6,Marllon Gonçalves Jerônimo Borges,4.2,28.0,19.0,3.0,6.0,10.0,1.0,1.0,3.0,1.0,,6.0,,,2.0,1.0,,,,,
61,,5,285,enner-valencia,Enner Valencia,70788,3.6,-1.47,37,2.38,Internacional,E. Valencia,18,True,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,7,Enner Remberto Valencia Lastra,8.61,4.0,11.0,7.0,6.0,15.0,1.0,4.0,1.0,3.0,1.0,,,,,,,,,,
62,,2,266,diogo-barbosa,Diogo Barbosa,70916,0.0,0.0,37,2.74,Fluminense,D. Barbosa,20,False,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,2,Diogo Barbosa Mendanha,4.14,20.0,13.0,,2.0,18.0,,,6.0,,,6.0,,,,,,,,,
63,,4,285,bruno-henrique,Bruno Henrique,70944,0.7,-0.6,37,2.65,Internacional,B. Henrique,31,True,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,2,Bruno Henrique Corsini,5.19,37.0,46.0,11.0,14.0,17.0,2.0,1.0,5.0,1.0,1.0,,,,,,,,,,
64,,4,286,jean-carlos,Jean Carlos,70958,0.0,0.0,37,2.93,Juventude,J. Carlos,19,False,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,6,Jean Carlos Vicente,6.93,7.0,13.0,5.0,10.0,7.0,4.0,1.0,3.0,,1.0,,,,,,,,,,
65,,4,267,payet,Payet,70984,0.2,-0.22,37,3.31,Vasco,Payet,21,True,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,6,Florent Dimitri Payet,5.76,10.0,9.0,2.0,7.0,25.0,3.0,2.0,2.0,1.0,3.0,,,,,,,,,,
66,,3,373,pedro-henrique,Pedro Henrique,71038,0.0,0.0,37,2.69,Atlético-GO,P. Henrique,10,False,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,6,Pedro Henrique Pereira da Silva,3.71,11.0,9.0,2.0,,4.0,,,3.0,,,3.0,,,,,,,,,
