,atletas.apelido_abreviado,atletas.pontos_num,atletas.clube_id,atletas.rodada_id,atletas.nome,atletas.slug,atletas.apelido,atletas.posicao_id,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.status_id,atletas.jogos_num,atletas.preco_num,atletas.media_num,atletas.foto,atletas.entrou_em_campo,atletas.atleta_id,atletas.clube.id.full.name,A,CA,DS,FC,FD,FF,FS,G,SG,CV,I,PS,V,FT,DE,GS,PC,PP,GC,DP
421,T. Carpini,2.38,287,22,Thiago Carpini Barbosa,thiago-carpini,Thiago Carpini,6,,-0.84,7,18,7.52,4.45,https://s.sde.globo.com/media/person_role/2024/05/14/photo_FORMATO_IgX32oN.png,True,106147,Vitória,,,,,,,,,,,,,6.0,,,,,,,
422,Lucão,2.0,280,22,Lucas Alexandre Galdino de Azevedo,lucao,Lucão,1,,0.3,6,7,3.75,2.43,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_wvc5kfv.png,True,106160,Bragantino,,1.0,,,,,,,1.0,,,,,,21.0,8.0,,,,
423,B. Gomes,0.4,285,22,Bruno Gomes da Silva Clevelário,bruno-gomes,Bruno Gomes,4,,-0.12,6,10,2.96,1.81,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_sq3mb5j.png,True,106202,Internacional,1.0,1.0,4.0,7.0,1.0,4.0,14.0,,,,,,,,,,,,,
424,M. Antônio,-0.6,276,22,Marcos Antônio Silva Santos,marcos-antonio,Marcos Antônio,4,,-1.01,6,1,5.99,-0.6,https://s.sde.globo.com/media/person_role/2024/07/23/photo_FORMATO_1CIojRS.png,True,106294,São Paulo,,,,2.0,,,,,,,,,,,,,,,,
425,Realpe,0.0,280,22,Leonardo Javier Realpe Montaño,realpe,Realpe,3,,0.0,6,1,6.28,7.0,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_csUs5UL.png,False,106299,Bragantino,,,5.0,1.0,,1.0,1.0,,,,,,,,,,,,,
426,C. Alexandre,-0.2,265,22,Caio Alexandre Souza e Silva,caio-alexandre,Caio Alexandre,4,,-0.22,7,19,4.75,2.06,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_jiBs4Bk.png,True,106323,Bahia,,3.0,16.0,21.0,1.0,1.0,33.0,1.0,,,2.0,,,1.0,,,,,,
427,W. Gasolina,0.0,283,22,Wesley David de Oliveira Andrade,wesley-gasolina,Wesley Gasolina,2,,0.0,6,2,3.69,3.35,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_p7fftOF.png,False,106327,Cruzeiro,,,1.0,,,,1.0,,1.0,,,,,,,,,,,
428,J. Robert,0.0,284,22,Jhonata Robert Alves da Silva,jhonata-robert,Jhonata Robert,5,,0.0,6,0,2.0,0.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_N5NG9cx.png,False,106371,Grêmio,,,,,,,,,,,,,,,,,,,,
429,E. Santos,0.0,280,22,Eduardo Gonzaga Mendes Santos,eduardo-santos,Eduardo Santos,3,,0.0,6,10,4.35,2.02,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_wPSGjby.png,False,106434,Bragantino,,2.0,8.0,2.0,,2.0,3.0,,2.0,,,,,,,,,,,
430,Villalba,6.7,283,22,Lucas Hernán Villalba,villalba,Villalba,3,,0.16,6,10,5.99,3.86,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_mqCHNug.png,True,106593,Cruzeiro,,,4.0,6.0,,,1.0,,7.0,,,,,,,,,,,
431,C. Alberto,3.7,263,22,Carlos Alberto Gomes da Silva Filho,carlos-alberto,Carlos Alberto,5,,-0.85,6,3,7.14,5.9,https://s.sde.globo.com/media/person_role/2023/03/07/photo_220x220_DgukYrK.png,True,106704,Botafogo,,,4.0,2.0,2.0,2.0,3.0,1.0,,,,,,,,,,,,
432,R. Nestor,2.4,276,22,Rodrigo Nestor Bertalia,rodrigo-nestor,Rodrigo Nestor,4,,0.27,6,17,4.34,1.57,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_LPbAkh9.png,True,106822,São Paulo,2.0,2.0,5.0,8.0,8.0,3.0,5.0,,,,4.0,1.0,,,,,,,,
433,Welington,0.0,276,22,Welington Damascena Santos,welington,Welington,2,,0.0,7,18,8.44,4.57,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_Z3aNUXx.png,False,106824,São Paulo,1.0,4.0,30.0,20.0,2.0,6.0,20.0,,7.0,,,,,,,,1.0,,,
434,Patryck,8.3,276,22,Patryck Lanza dos Reis,patryck,Patryck,2,,0.85,6,6,4.22,2.98,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_mCvHWjt.png,True,106829,São Paulo,,1.0,7.0,3.0,,,3.0,,2.0,,1.0,,,,,,,,,
435,Juan,0.0,276,22,Juan Santos da Silva,juan,Juan,5,,0.0,6,10,2.94,1.37,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_uPYz8tk.png,False,106831,São Paulo,1.0,,4.0,6.0,1.0,1.0,2.0,,,,2.0,,,1.0,,,,,,
436,L. Patrick,0.0,293,22,Luan Patrick Wiedthauper,luan-patrick,Luan Patrick,3,,0.0,6,0,5.0,0.0,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_AUtEehU.png,False,106835,Athlético-PR,,,,,,,,,,,,,,,,,,,,
437,Fernando,1.4,293,22,Fernando Augusto Pereira Bueno Júnior,fernando,Fernando,2,,-0.21,6,7,4.83,2.75,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qx7ZU51.png,True,106950,Athlético-PR,1.0,2.0,8.0,7.0,,1.0,6.0,,1.0,,,,,,,,,,,
438,L. Juba,16.2,265,22,Luciano Batista da Silva Júnior,luciano-juba,Luciano Juba,2,,1.97,7,19,7.57,3.83,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_rR1yZyw.png,True,107093,Bahia,1.0,,16.0,2.0,2.0,3.0,7.0,2.0,5.0,,1.0,,,,,,,,,
439,R. Ríos,4.3,275,22,Richard Ríos Montoya,richard-rios,Richard Ríos,4,,0.05,7,10,7.18,3.78,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_PkMn7XO.png,True,107111,Palmeiras,,1.0,16.0,11.0,,5.0,16.0,1.0,,,1.0,,,1.0,,,,,,
440,Jeffinho,0.0,263,22,Jefferson Ruan Pereira dos Santos,jeffinho,Jeffinho,5,,0.0,5,6,6.73,3.92,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_jfNtXEg.png,False,107170,Botafogo,1.0,2.0,3.0,7.0,4.0,4.0,6.0,1.0,,,,,,,,,,,,
441,P. Paula,0.0,263,22,Patrick de Paula Carreiro,patrick-de-paula,Patrick de Paula,4,,0.0,6,4,1.4,-0.33,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_tS5MIor.png,False,107172,Botafogo,,2.0,,3.0,,2.0,,,,,,,,,,,,,,
442,M. Araújo,1.2,276,22,Michel Daryl Araújo Villar,michel-araujo,Michel Araújo,4,,0.0,6,14,3.93,1.52,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_498ez5E.png,True,107173,São Paulo,1.0,3.0,9.0,9.0,3.0,4.0,9.0,,,,,,,,,,,,,
443,B. Tabata,0.0,285,22,Bruno Vinícius Souza Ramos,bruno-tabata,Bruno Tabata,4,,0.0,6,0,5.0,0.0,https://s.sde.globo.com/media/person_role/2024/08/11/photo_220x220_QXYKRgQ.png,False,107174,Internacional,,,,,,,,,,,,,,,,,,,,
444,M. Donelli,0.0,264,22,Matheus Planelles Donelli,matheus-donelli,Matheus Donelli,1,,0.0,6,7,4.59,3.43,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_9utJF4u.png,False,107179,Corinthians,,,,,,,,,,,,,,,29.0,12.0,,,,1.0
445,L. Linck,-1.0,293,22,Leonardo Matias Baiersdorf Linck,leo-linck,Léo Linck,1,,-0.69,7,12,3.73,2.37,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_bL4Rm1s.png,True,107183,Athlético-PR,,1.0,,,,,1.0,,1.0,1.0,,,,,44.0,17.0,,,,
446,L. Ataíde,0.0,293,22,Leonardo Ataíde de Oliveira Siqueira,leonardo-ataide,Leonardo Ataíde,2,,0.0,6,0,2.0,0.0,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_4kdpe6Z.png,False,107191,Athlético-PR,,,,,,,,,,,,,,,,,,,,
447,Max,4.9,1371,22,Max Alves da Silva,max,Max,4,,0.36,7,10,3.38,2.3,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_tZvTg6Z.png,True,107203,Cuiabá,,1.0,7.0,2.0,4.0,8.0,4.0,,,,,,,1.0,,,,,,
448,Magrão,0.0,356,22,Audenirton Soares da Silva,magrao,Magrão,1,,0.0,6,0,2.0,0.0,https://s.sde.globo.com/media/person_role/2024/08/07/photo_220x220_H5QTCcN.png,False,107221,Fortaleza,,,,,,,,,,,,,,,,,,,,
449,Vanderlan,1.5,275,22,Vanderlan Barbosa da Silva,vanderlan,Vanderlan,2,,-0.62,7,14,6.31,3.78,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_JhaBedf.png,True,107236,Palmeiras,1.0,,16.0,12.0,,3.0,2.0,,6.0,,,,,,,,1.0,,,
450,Marcelinho,15.7,286,22,Marcelo José de Lima Filho,marcelinho,Marcelinho,5,,2.54,6,10,6.13,3.65,https://s.sde.globo.com/media/person_role/2024/04/26/photo_FORMATO_1GgfZEe.png,True,107238,Juventude,2.0,1.0,4.0,5.0,4.0,6.0,14.0,1.0,,,4.0,,,,,,,,,
451,Z. Vitor,0.0,293,22,Jose Vitor Silva Neves,ze-vitor,Zé Vitor,4,,0.0,6,9,1.52,0.35,https://s.sde.globo.com/media/person_role/2024/04/13/photo_220x220_dAbIrS8.png,False,107256,Athlético-PR,,2.0,3.0,5.0,1.0,1.0,2.0,,,,,,,,,,,,,
452,André,3.1,266,22,André Trindade da Costa Neto,andre,André,4,,-0.21,7,9,7.02,3.46,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_0Njhcgz.png,True,107498,Fluminense,1.0,4.0,20.0,17.0,,1.0,21.0,,,,,,,,,,,,,
453,Thayllon,0.0,373,22,Thayllon Lopes Medeiros,thayllon,Thayllon,5,,0.0,6,0,2.0,0.0,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_UGtlqUd.png,False,107664,Atlético-GO,,,,,,,,,,,,,,,,,,,,
454,J. Carlos,0.0,288,22,João Carlos Barros Lopes,joao-carlos,João Carlos,5,,-0.3,6,4,1.34,0.25,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_HlvP7yl.png,True,107666,Criciúma,,,,1.0,,1.0,1.0,,,,,,,,,,,,,
455,E. Melo,0.0,288,22,Eduardo de Queiroz Melo,eduardo-melo,Eduardo Melo,5,,0.0,6,0,3.0,0.0,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_9c3cd5s.png,False,107700,Criciúma,,,,,,,,,,,,,,,,,,,,
456,E. Júnior,0.0,373,22,Emerson Fabiano Kerber Júnior,emerson-junior,Emerson Júnior,1,,0.0,6,0,2.0,0.0,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO.png,False,107740,Atlético-GO,,,,,,,,,,,,,,,,,,,,
457,Praxedes,0.0,267,22,Bruno Conceição Praxedes,praxedes,Praxedes,4,,0.0,6,6,3.22,1.1,https://s.sde.globo.com/media/person_role/2023/07/26/photo_FORMATO_kPHzPIn.png,False,107744,Vasco,,2.0,3.0,5.0,2.0,2.0,5.0,,,,,,,,,,,,,
458,Adriel,0.0,265,22,Adriel Vasconcelos Ramos,adriel,Adriel,1,,0.0,6,0,4.0,0.0,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0qGGyWx.png,False,107748,Bahia,,,,,,,,,,,,,,,,,,,,
459,Natã,2.4,284,22,Natã Felipe de Amorim Santos,nata,Natã,3,,-0.37,6,9,4.6,3.68,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_Kjugdhc.png,True,107801,Grêmio,,1.0,6.0,1.0,1.0,,2.0,,5.0,,,,,,,,,,,
460,M. Dias,0.0,285,22,Matheus dos Santos Dias,matheus-dias,Matheus Dias,4,,0.0,6,3,1.07,-0.37,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_wwiHUgs.png,False,107809,Internacional,,1.0,,2.0,,,1.0,,,,,,,,,,,,,
461,Fintelman,0.0,287,22,Alexandre Fintelman de Mello Ribeiro da Silva,fintelman,Fintelman,1,,0.0,6,0,2.0,0.0,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_C8LyEyp.png,False,107859,Vitória,,,,,,,,,,,,,,,,,,,,
462,Bobadilla,3.2,276,22,Damián Josué Bobadilla Benítez,bobadilla,Bobadilla,4,,-0.1,7,12,4.21,2.24,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_BoNwEka.png,True,107873,São Paulo,,2.0,15.0,15.0,,4.0,2.0,1.0,,,,,,1.0,,,,,,
463,Hugo,5.8,264,22,Hugo Ferreira de Farias,hugo,Hugo,2,,0.3,7,21,7.57,4.37,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_h4IhTE1.png,True,107908,Corinthians,4.0,2.0,38.0,34.0,1.0,9.0,10.0,,4.0,,1.0,,,2.0,,,1.0,,,
464,F. Vera,-0.1,282,22,Fausto Mariano Vera,fausto-vera,Fausto Vera,4,,-0.4,6,10,3.85,1.98,https://s.sde.globo.com/media/person_role/2024/07/16/photo_FORMATO_hfXkP4H.png,True,107950,Atlético-MG,,,8.0,9.0,4.0,7.0,5.0,,,,,,,,,,,,,
465,I. Pitta,1.4,1371,22,Isidro Miguel Pitta Saldívar,isidro-pitta,Isidro Pitta,5,,-0.28,7,17,4.86,3.12,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_VmtW8Bv.png,True,108133,Cuiabá,,1.0,4.0,16.0,11.0,13.0,13.0,3.0,,,12.0,2.0,,1.0,,,,1.0,,
466,Almada,1.2,263,22,Thiago Ezequiel Almada,almada,Almada,4,,-0.76,7,1,10.24,1.2,https://s.sde.globo.com/media/person_role/2024/07/08/photo_220x220_Hm0Qmc9.png,True,108358,Botafogo,,,,,1.0,,,,,,,,,,,,,,,
467,Aravena,0.0,284,22,Alexander Ernesto Aravena Guzmán,aravena,Aravena,5,,-0.37,6,2,2.51,0.25,,True,108548,Grêmio,,,,,,,1.0,,,,,,,,,,,,,
468,Arriagada,0.0,293,22,Luciano Daniel Arriagada García,arriagada,Arriagada,5,,0.0,6,0,3.0,0.0,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_9Gl7lZe.png,False,108624,Athlético-PR,,,,,,,,,,,,,,,,,,,,
469,David,0.0,286,22,David da Hora da Conceição,david,David,5,,0.0,6,1,3.33,1.7,https://s.sde.globo.com/media/person_role/2024/07/15/photo_220x220_ASdR4hr.png,False,108752,Juventude,,,1.0,,,,1.0,,,,,,,,,,,,,
470,M. Nascimento,0.0,263,22,Matheus Nascimento de Paula,matheus-nascimento,Matheus Nascimento,5,,0.0,5,1,2.16,1.7,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_g47taLF.png,False,109114,Botafogo,,,1.0,,,,1.0,,,,,,,,,,,,,
471,L. Henrique,0.0,263,22,Luiz Henrique André Rosa da Silva,luiz-henrique,Luiz Henrique,5,,0.0,7,20,11.58,5.39,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_f3wPomL.png,False,109282,Botafogo,3.0,3.0,28.0,17.0,5.0,13.0,35.0,4.0,,,6.0,2.0,,,,,,,,
472,Calebe,0.0,356,22,Calebe Gonçalves Ferreira da Silva,calebe,Calebe,4,,0.0,6,2,5.82,0.45,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_zjAtk2u.png,False,109461,Fortaleza,,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,
473,Martinelli,0.0,266,22,Matheus Martinelli Lima,martinelli,Martinelli,4,,0.0,2,18,4.99,2.08,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_DxKpmdn.png,False,109573,Fluminense,,4.0,24.0,22.0,1.0,2.0,15.0,1.0,,,,1.0,,,,,,,,
474,Hugo,0.0,263,22,Hugo Gonçalves Ferreira Neto,hugo,Hugo,2,,0.0,6,8,6.97,4.34,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_SUeVFmE.png,False,109668,Botafogo,1.0,,11.0,6.0,,1.0,7.0,,3.0,,,,,,,,1.0,,,
475,Monsalve,7.4,284,22,Miguel Ángel Monsalve Gonzáles - González,monsalve,Monsalve,4,,1.08,7,2,7.73,8.85,https://s.sde.globo.com/media/person_role/2024/08/05/photo_FORMATO_HikzJDy.png,True,109966,Grêmio,1.0,,2.0,3.0,1.0,,4.0,1.0,,,,,,,,,,,,
476,Lázaro,4.6,275,22,Lázaro Vinicius Marques,lazaro,Lázaro,5,,0.39,7,13,5.74,3.51,https://s.sde.globo.com/media/person_role/2024/02/07/photo_FORMATO.png,True,110193,Palmeiras,,,4.0,8.0,8.0,11.0,12.0,2.0,,,1.0,,,1.0,,,,,,
477,Jhonatan,0.0,356,22,Jhonatan Paulo da Silva,jhonatan,Jhonatan,3,,0.0,6,0,1.0,0.0,,False,110208,Fortaleza,,,,,,,,,,,,,,,,,,,,
478,Palacios,0.0,264,22,Diego José Palacios Espinoza,palacios,Palacios,2,,0.0,5,0,5.0,0.0,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_ykV382s.png,False,110260,Corinthians,,,,,,,,,,,,,,,,,,,,
479,Bernabéi,1.0,285,22,Alexandro Ezequiel Bernabei,bernabei,Bernabéi,2,,-0.22,7,3,3.41,0.83,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_muBtltt.png,True,110426,Internacional,,,2.0,8.0,,2.0,2.0,,,,1.0,,,,,,,,,
480,A. Ferreira,2.88,275,22,Abel Fernando Moreira Ferreira,abel-ferreira,Abel Ferreira,6,,-0.41,7,22,10.99,5.94,https://s.sde.globo.com/media/person_role/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,True,110506,Palmeiras,,,,,,,,,,,,,11.0,,,,,,,
481,Mateus,0.0,275,22,Mateus Oliveira Mendes,mateus,Mateus,1,,0.0,6,0,2.0,0.0,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_Jhyg9Yk.png,False,110624,Palmeiras,,,,,,,,,,,,,,,,,,,,
482,Machuca,0.0,356,22,Imanol Machuca,machuca,Machuca,5,,0.0,6,11,3.79,1.66,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_aKgahZX.png,False,110667,Fortaleza,1.0,,,4.0,2.0,2.0,5.0,1.0,,,,,,,,,,,,
483,Esquivel,2.3,293,22,Lucas Ángel Esquivel,esquivel,Esquivel,2,,-0.09,7,17,7.87,4.83,https://s.sde.globo.com/media/person_role/2023/05/31/photo_FORMATO_DlnAHYU.png,True,110668,Athlético-PR,3.0,3.0,33.0,19.0,3.0,5.0,13.0,,5.0,1.0,,,,,,,,,,
484,Mycael,0.0,293,22,Mycael Pontes Moreira,mycael,Mycael,1,,0.0,6,2,1.9,0.5,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_1naIetc.png,False,110698,Athlético-PR,,,,,,,,,,1.0,,,,,2.0,1.0,,,,
485,P. Rangel,4.0,373,22,Pedro Felipe de Faria Rangel,pedro-rangel,Pedro Rangel,1,,0.48,7,4,4.79,3.5,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_HAuwqG4.png,True,110708,Atlético-GO,,1.0,,,,,,,1.0,,,,,,16.0,7.0,,,,
486,A. Hurtado,0.0,280,22,José Andrés Hurtado Cheme,andres-hurtado,Andrés Hurtado,2,,0.0,7,3,5.63,4.0,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_VE4habv.png,False,110715,Bragantino,,,4.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,
487,Rubens,5.5,282,22,Rubens Antônio Dias,rubens,Rubens,2,,0.88,6,3,4.97,2.23,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_mGd1yDc.png,True,110727,Atlético-MG,,,1.0,,,,1.0,,1.0,,,,,,,,,,,
488,J. Kennedy,2.9,266,22,John Kennedy Batista de Souza,john-kennedy,John Kennedy,5,,0.32,2,15,4.75,1.14,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_XO4700O.png,True,110759,Fluminense,,,4.0,12.0,4.0,4.0,16.0,,,,2.0,,,,,,,,,
489,Biel,1.8,265,22,Gabriel Teixeira Aragão,biel,Biel,5,,-0.39,2,18,8.21,4.5,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_549ojOA.png,True,110760,Bahia,4.0,3.0,8.0,6.0,4.0,7.0,16.0,4.0,,,2.0,,,2.0,,,,,,
490,G. Lopes,0.0,280,22,Guilherme Lopes de Almeida,guilherme-lopes,Guilherme Lopes,2,,0.0,6,4,2.84,1.27,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_wfa8twq.png,False,110909,Bragantino,,,3.0,2.0,,2.0,1.0,,,,,,,,,,,,,
491,L. Naldi,0.0,287,22,Leonardo Naldi de Matos,leo-naldi,Léo Naldi,4,,0.0,6,14,4.88,2.74,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_mVG5FsO.png,False,111005,Vitória,,4.0,30.0,19.0,2.0,3.0,15.0,,,,,,,,,,,,,
492,Rômulo,0.0,275,22,Rômulo Azevedo Simão,romulo,Rômulo,4,,-0.84,6,5,4.25,1.56,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_HI2kx56.png,True,111166,Palmeiras,,,4.0,2.0,,2.0,4.0,,,,,,,,,,,,,
493,A. Vinicius,0.0,373,22,Alix Vinicius de Souza Sampaio,alix-vinicius,Alix Vinicius,3,,0.0,5,13,1.32,0.47,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_lm7UgU1.png,False,111246,Atlético-GO,,,7.0,14.0,3.0,5.0,3.0,,1.0,2.0,2.0,,,,,,,,2.0,
494,G. Martins,-0.3,284,22,Gustavo Martins de Souza Santos,gustavo-martins,Gustavo Martins,3,,-2.24,6,12,5.54,3.26,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_0UAzL2e.png,True,111309,Grêmio,,1.0,8.0,13.0,2.0,2.0,5.0,2.0,3.0,,1.0,,,,,,,,1.0,
495,K. Gomes,0.0,286,22,Kelvi Chiesa Gomes,kelvi-gomes,Kelvi Gomes,4,,0.0,6,0,2.0,0.0,https://s.sde.globo.com/media/person_role/2024/08/11/photo_FORMATO.png,False,111332,Juventude,,,,,,,,,,,,,,,,,,,,
496,Eliel,0.0,288,22,Eliel Felisbino Costa,eliel,Eliel,4,,0.0,6,0,2.0,0.0,https://s.sde.globo.com/media/person_role/2024/03/15/photo_FORMATO_LMEmI4h.png,False,111363,Criciúma,,,,,,,,,,,,,,,,,,,,
497,L. Mandaca,0.0,286,22,Luis Gustavo da Silva Machado Duarte,luis-mandaca,Luis Mandaca,4,,0.0,6,15,3.68,2.36,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_ZNLvDib.png,False,111407,Juventude,,3.0,8.0,9.0,5.0,4.0,7.0,2.0,,,,,,1.0,,,,,,
498,G. Átila,0.0,282,22,Gabriel Átila Cardoso da Silva,gabriel-atila,Gabriel Átila,1,,0.0,6,0,1.0,0.0,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_MZjZBke.png,False,111582,Atlético-MG,,,,,,,,,,,,,,,,,,,,
499,Adson,1.7,267,22,Adson Ferreira Soares,adson,Adson,4,,-1.75,7,18,5.79,4.16,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_FdRiLgH.png,True,111682,Vasco,1.0,2.0,27.0,5.0,7.0,10.0,17.0,2.0,,,,,,,,,,,,
500,Anthoni,0.0,285,22,Anthoni Spier Souza,anthoni,Anthoni,1,,0.0,6,0,4.0,0.0,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_IeLrq8d.png,False,111683,Internacional,,,,,,,,,,,,,,,,,,,,
501,M. Cunha,0.0,262,22,Matheus Cunha Queiroz,matheus-cunha,Matheus Cunha,1,,0.0,6,1,6.65,8.0,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_fcLIvEj.png,False,111690,Flamengo,,,,,,,,,1.0,,,,,,3.0,,,,,
502,L. Mezenga,0.0,263,22,Lucas de Souza Mombra Rosa,lucas-mezenga,Lucas Mezenga,3,,0.0,6,0,2.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_BuH7iqi.png,False,111713,Botafogo,,,,,,,,,,,,,,,,,,,,
503,Fabinho,0.2,275,22,Fábio Silva de Freitas,fabinho,Fabinho,4,,-0.07,6,11,2.29,1.47,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_jLmJElM.png,True,111760,Palmeiras,,1.0,5.0,3.0,,2.0,5.0,1.0,,,,,,,,,,,,
504,M. Martins,5.1,263,22,Matheus Martins Silva dos Santos,matheus-martins,Matheus Martins,5,,0.63,6,2,7.1,2.8,https://s.sde.globo.com/media/person_role/2024/07/30/photo_220x220.png,True,111831,Botafogo,,,1.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,
505,G. Ramalho,0.0,266,22,Gustavo Ramalho Bremer Pinto,gustavo-ramalho,Gustavo Ramalho,1,,0.0,6,0,1.0,0.0,https://s.sde.globo.com/media/person_role/2021/03/11/93f569dba64ea879ba52b815372f17f4_FORMATO.png,False,111837,Fluminense,,,,,,,,,,,,,,,,,,,,
506,F. Andrade,0.0,266,22,Felipe de Andrade Vieira,felipe-andrade,Felipe Andrade,3,,0.0,6,6,3.56,2.18,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_D9UhaMY.png,False,111839,Fluminense,,,6.0,3.0,,1.0,2.0,,1.0,,,,,,,,,,,
507,Arthur,0.0,266,22,Arthur Wenderrosky Sanches - Wenderroscky,arthur,Arthur,4,,0.0,6,0,1.0,0.0,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_wVzBSeW.png,False,111841,Fluminense,,,,,,,,,,,,,,,,,,,,
508,G. Biro,0.0,264,22,Guilherme Sucigan Mafra Cunha,guilherme-biro,Guilherme Biro,4,,0.0,6,3,2.08,0.17,https://s.sde.globo.com/media/person_role/2022/07/02/ea53a64347e60658cdcbd15ba83320ba_FORMATO.png,False,111891,Corinthians,,,,1.0,,1.0,,,,,,,,,,,,,,
509,Felipinho,1.7,293,22,Antonio Feliphe Costa Silva,felipinho,Felipinho,4,,0.02,6,7,2.87,1.81,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_WNPv1gX.png,True,112017,Athlético-PR,,1.0,9.0,2.0,,,7.0,,,,,,,,,,,,,
510,Adriano,0.0,288,22,Adriano Silveira Borges Filho,adriano,Adriano,5,,0.0,6,0,1.0,0.0,https://s.sde.globo.com/media/person_role/2024/03/15/photo_FORMATO_nohrP8R.png,False,112020,Criciúma,,,,,,,,,,,,,,,,,,,,
511,G. Grando,0.0,283,22,Gabriel Hamester Grando,gabriel-grando,Gabriel Grando,1,,0.0,6,0,4.0,0.0,https://s.sde.globo.com/media/person_role/2024/04/25/photo_FORMATO_2UrGVBG.png,False,112616,Cruzeiro,,,,,,,,,,,,,,,,,,,,
