,atletas.apelido_abreviado,atletas.pontos_num,atletas.clube_id,atletas.rodada_id,atletas.nome,atletas.slug,atletas.apelido,atletas.posicao_id,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.status_id,atletas.jogos_num,atletas.preco_num,atletas.media_num,atletas.foto,atletas.entrou_em_campo,atletas.atleta_id,atletas.clube.id.full.name,A,CA,DS,FC,FD,FF,FS,G,SG,CV,I,PS,V,FT,DE,GS,PC,PP,GC,DP
66,B. Henrique,2.2,285,22,Bruno Henrique Corsini,bruno-henrique,Bruno Henrique,4,,-1.37,7,17,5.91,3.39,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,True,70944,Internacional,1.0,3.0,21.0,34.0,6.0,10.0,13.0,2.0,,,1.0,,,1.0,,,,,,
67,J. Carlos,0.0,286,22,Jean Carlos Vicente,jean-carlos,Jean Carlos,4,,0.0,7,14,7.55,3.83,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,False,70958,Juventude,1.0,2.0,6.0,10.0,4.0,9.0,5.0,4.0,,,1.0,,,,,,,,,
68,Payet,0.7,267,22,Florent Dimitri Payet,payet,Payet,4,,-0.64,7,8,5.83,3.15,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,True,70984,Vasco,2.0,,6.0,4.0,1.0,2.0,7.0,,,,1.0,,,1.0,,,,,,
69,P. Henrique,2.9,373,22,Pedro Henrique Pereira da Silva,pedro-henrique,Pedro Henrique,3,,0.39,7,8,3.85,2.45,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,True,71038,Atlético-GO,,3.0,9.0,7.0,2.0,,3.0,,2.0,,,,,,,,,,,
70,Maicon,5.0,267,22,Maicon Pereira Roque,maicon,Maicon,3,,0.64,2,19,4.57,2.48,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,True,71227,Vasco,,3.0,12.0,9.0,1.0,1.0,7.0,1.0,5.0,,1.0,,,,,,,,,
71,L. Gustavo,0.0,276,22,Luiz Gustavo Dias,luiz-gustavo,Luiz Gustavo,4,,0.0,7,14,4.77,2.88,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,False,71536,São Paulo,,3.0,22.0,20.0,7.0,7.0,12.0,,,,,,,1.0,,,,,,
72,Weverton,5.0,275,22,Weverton Pereira da Silva,weverton,Weverton,1,,-0.12,7,21,10.53,5.0,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,True,71631,Palmeiras,1.0,1.0,1.0,,,,4.0,,9.0,,,,,,69.0,16.0,,,,
73,R. Cáceres,0.0,287,22,Raúl Alejandro Cáceres Bogado,raul-caceres,Raúl Cáceres,2,,0.0,2,9,6.03,3.48,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,False,71680,Vitória,1.0,,14.0,8.0,,,4.0,,2.0,,1.0,,,,,,,,,
74,G. Gómez,0.1,275,22,Gustavo Raúl Gómez Portillo,gustavo-gomez,Gustavo Gómez,3,,-0.47,7,13,8.41,4.01,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,True,71684,Palmeiras,2.0,5.0,13.0,27.0,1.0,7.0,9.0,1.0,5.0,,6.0,,,,,,1.0,,1.0,
75,S. Arias,7.1,265,22,Santiago Arias Naranjo,santiago-arias,Santiago Arias,2,,0.9,7,10,5.96,2.93,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,True,71701,Bahia,,1.0,9.0,11.0,1.0,1.0,12.0,,3.0,,2.0,,,,,,,,,
