,atletas.variacao_num,atletas.jogos_num,atletas.status_id,atletas.nome,atletas.apelido,atletas.rodada_id,atletas.foto,atletas.preco_num,atletas.clube_id,atletas.clube.id.full.name,atletas.apelido_abreviado,atletas.pontos_num,atletas.media_num,atletas.entrou_em_campo,atletas.posicao_id,atletas.minimo_para_valorizar,atletas.slug,atletas.atleta_id,CA,DS,FC,FF,FS,G,I,SG,A,CV,FD,DE,GS,FT,DP,PC,PP,PS,V,GC
60,0.0,3,6,Agustín Federico Marchesín,Marchesín,9,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,6.66,284,Grêmio,Marchesín,0.0,4.0,False,1,,marchesin,70332,,,,,,,,2.0,,,,4.0,2.0,,,,,,,
61,0.0,6,6,Eduardo Colcenti Antunes,Eduardo Sasha,9,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,7.83,280,Bragantino,E. Sasha,0.0,4.0,False,5,,eduardo-sasha,70360,1.0,3.0,5.0,2.0,7.0,2.0,,,,1.0,4.0,,,,,,,,,
62,-0.61,7,7,Gabriel Vasconcelos Ferreira,Gabriel,9,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,3.0,286,Juventude,Gabriel,-1.0,1.43,True,1,,gabriel,70449,2.0,,,,2.0,,,1.0,,,,17.0,11.0,,,,,,,
63,0.0,6,7,Marllon Gonçalves Jerônimo Borges,Marllon,9,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,3.16,1371,Cuiabá,Marllon,0.0,1.37,False,3,,marllon,70666,2.0,8.0,2.0,,2.0,,,,,,1.0,,,,,1.0,,,,
64,0.0,1,6,Enner Remberto Valencia Lastra,Enner Valencia,9,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,15.47,285,Internacional,E. Valencia,0.0,0.5,False,5,,enner-valencia,70788,,,,,1.0,,,,,,,,,,,,,,,
65,-0.54,4,6,Diogo Barbosa Mendanha,Diogo Barbosa,9,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,3.03,266,Fluminense,D. Barbosa,0.0,0.25,True,2,,diogo-barbosa,70916,1.0,2.0,3.0,,1.0,,,,,,,,,,,,,,,
66,-0.41,7,7,Bruno Henrique Corsini,Bruno Henrique,9,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,5.31,285,Internacional,B. Henrique,-0.1,2.24,True,4,,bruno-henrique,70944,1.0,9.0,17.0,2.0,4.0,,,,1.0,,2.0,,,,,,,,,
67,0.0,3,5,Jean Carlos Vicente,Jean Carlos,9,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,9.85,286,Juventude,J. Carlos,0.0,8.5,False,4,,jean-carlos,70958,1.0,3.0,2.0,1.0,1.0,2.0,,,1.0,,1.0,,,,,,,,,
68,0.0,3,6,Florent Dimitri Payet,Payet,9,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,7.23,267,Vasco,Payet,0.0,5.77,False,4,,payet,70984,,2.0,1.0,,2.0,,,,2.0,,1.0,,,1.0,,,,,,
69,-0.08,4,7,Pedro Henrique Pereira da Silva,Pedro Henrique,9,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,3.99,373,Atlético-GO,P. Henrique,2.9,2.9,True,3,,pedro-henrique,71038,1.0,5.0,2.0,,2.0,,,1.0,,,1.0,,,,,,,,,
70,0.69,8,7,Maicon Pereira Roque,Maicon,9,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,4.66,267,Vasco,Maicon,5.2,2.62,True,3,,maicon,71227,1.0,5.0,3.0,1.0,4.0,1.0,1.0,1.0,,,1.0,,,,,,,,,
71,0.4,3,7,Luiz Gustavo Dias,Luiz Gustavo,9,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,5.4,276,São Paulo,L. Gustavo,4.2,1.67,True,4,,luiz-gustavo,71536,1.0,5.0,4.0,,,,,,,,1.0,,,,,,,,,
72,0.21,9,7,Weverton Pereira da Silva,Weverton,9,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,11.81,275,Palmeiras,Weverton,8.0,5.56,True,1,,weverton,71631,1.0,,,,,,,6.0,,,,25.0,4.0,,,,,,,
73,0.0,0,7,Raúl Alejandro Cáceres Bogado,Raúl Cáceres,9,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,3.0,287,Vitória,R. Cáceres,0.0,0.0,False,2,,raul-caceres,71680,,,,,,,,,,,,,,,,,,,,
74,0.0,6,6,Gustavo Raúl Gómez Portillo,Gustavo Gómez,9,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,10.8,275,Palmeiras,G. Gómez,0.0,5.02,False,3,,gustavo-gomez,71684,3.0,6.0,11.0,4.0,2.0,1.0,2.0,3.0,1.0,,1.0,,,,,1.0,,,,1.0
75,0.0,6,6,Santiago Arias Naranjo,Santiago Arias,9,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,5.58,265,Bahia,S. Arias,0.0,3.32,False,2,,santiago-arias,71701,1.0,5.0,6.0,1.0,12.0,,1.0,2.0,,,,,,,,,,,,
76,0.0,0,6,Gabriel Appelt Pires,Gabriel Pires,9,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,4.0,266,Fluminense,G. Pires,0.0,0.0,False,4,,gabriel-pires,71898,,,,,,,,,,,,,,,,,,,,
77,0.0,7,7,Everson Felipe Marques Pires,Everson,9,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,9.28,282,Atlético-MG,Everson,0.0,3.21,False,1,,everson,72294,3.0,,,,3.0,,,3.0,,,,14.0,5.0,,,,,,,
78,0.0,0,6,Felipe Alves Raymundo,Felipe Alves,9,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_e9UBywD.png,5.0,266,Fluminense,F. Alves,0.0,0.0,False,1,,felipe-alves,72372,,,,,,,,,,,,,,,,,,,,
79,-0.21,8,7,Fernando Diniz Silva,Fernando Diniz,9,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_dcBENR5.png,9.07,266,Fluminense,F. Diniz,2.43,3.86,True,6,,fernando-diniz,72391,,,,,,,,,,,,,,,,,,,1.0,
80,0.0,0,5,Gustavo Campanharo,Gustavo Campanharo,9,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_XGJ1uLI.png,5.0,373,Atlético-GO,G. Campanharo,0.0,0.0,False,4,,gustavo-campanharo,72497,,,,,,,,,,,,,,,,,,,,
81,-0.06,6,7,Magno José da Silva,Maguinho,9,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_204au3d.png,5.01,373,Atlético-GO,Maguinho,2.3,3.38,True,2,,maguinho,72532,,10.0,4.0,1.0,3.0,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,
82,0.0,2,6,Pedro Henrique Konzen Medina da Silva,Pedro Henrique,9,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_sB7v4Fv.png,5.32,264,Corinthians,P. Henrique,0.0,1.4,False,5,,pedro-henrique,72583,1.0,2.0,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,
83,0.0,0,6,Maurício Kozlinski,Maurício Kozlinski,9,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_EePQ79Y.png,3.0,356,Fortaleza,M. Kozlinski,0.0,0.0,False,1,,mauricio-kozlinski,72595,,,,,,,,,,,,,,,,,,,,
