,atletas.jogos_num,atletas.nome,atletas.apelido,atletas.foto,atletas.status_id,atletas.pontos_num,atletas.atleta_id,atletas.rodada_id,atletas.apelido_abreviado,atletas.clube_id,atletas.media_num,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.posicao_id,atletas.slug,A,CA,CV,DS,FC,FD,FF,FS,FT,G,I,PP,PS,DE,GS,SG,V,PC,DP,GC
66,14,Florent Dimitri Payet,Payet,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,6,8.8,70984,29,Payet,267,3.45,,1.24,6.86,True,Vasco,4,payet,3.0,,,10.0,8.0,2.0,5.0,13.0,1.0,1.0,2.0,,,,,,,,,
67,9,Pedro Henrique Pereira da Silva,Pedro Henrique,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,6,0.0,71038,29,P. Henrique,373,3.02,,0.0,4.73,False,Atlético-GO,3,pedro-henrique,,3.0,,11.0,8.0,2.0,,4.0,,,,,,,,3.0,,,,
68,25,Maicon Pereira Roque,Maicon,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,7,2.4,71227,29,Maicon,267,2.55,,0.21,4.3,True,Vasco,3,maicon,,4.0,,23.0,11.0,1.0,1.0,7.0,,1.0,1.0,,,,,6.0,,,,
69,20,Luiz Gustavo Dias,Luiz Gustavo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,7,1.0,71536,29,L. Gustavo,276,2.45,,-0.59,4.57,True,São Paulo,4,luiz-gustavo,,3.0,,26.0,25.0,8.0,8.0,19.0,1.0,,,,,,,,,,,
70,28,Weverton Pereira da Silva,Weverton,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,7,9.0,71631,29,Weverton,275,5.61,,0.98,11.24,True,Palmeiras,1,weverton,1.0,2.0,,1.0,,,,6.0,,,,,,98.0,18.0,14.0,,,,
71,14,Raúl Alejandro Cáceres Bogado,Raúl Cáceres,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,7,3.3,71680,29,R. Cáceres,287,3.67,,0.17,5.71,True,Vitória,2,raul-caceres,1.0,,,23.0,13.0,,1.0,4.0,,,1.0,,,,,4.0,,,,
72,19,Gustavo Raúl Gómez Portillo,Gustavo Gómez,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,7,10.3,71684,29,G. Gómez,275,4.38,,1.2,9.63,True,Palmeiras,3,gustavo-gomez,2.0,6.0,,21.0,32.0,1.0,9.0,14.0,,1.0,6.0,,,,,9.0,,1.0,,1.0
73,17,Santiago Arias Naranjo,Santiago Arias,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,3,3.4,71701,29,S. Arias,265,3.88,,-1.09,6.09,True,Bahia,2,santiago-arias,1.0,2.0,1.0,20.0,21.0,2.0,5.0,17.0,,,4.0,,,,,7.0,,1.0,,
74,5,Gabriel Appelt Pires,Gabriel Pires,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,6,0.0,71898,29,G. Pires,266,3.48,,0.0,5.14,False,Fluminense,4,gabriel-pires,,1.0,,13.0,8.0,1.0,2.0,5.0,,,1.0,,,,,,,,,
75,17,Everson Felipe Marques Pires,Everson,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,7,-5.3,72294,29,Everson,282,2.15,,-1.68,6.4,True,Atlético-MG,1,everson,,5.0,1.0,,1.0,,,4.0,,,,,,40.0,22.0,5.0,,,,
