,atletas.apelido,atletas.clube.id.full.name,atletas.foto,atletas.slug,atletas.jogos_num,atletas.apelido_abreviado,atletas.rodada_id,atletas.clube_id,atletas.pontos_num,atletas.status_id,atletas.media_num,atletas.minimo_para_valorizar,atletas.preco_num,atletas.variacao_num,atletas.posicao_id,atletas.atleta_id,atletas.entrou_em_campo,atletas.nome,DE,GS,CA,FS,SG,G,DS,FC,FF,V,I,FD,PC,PS,A,CV,FT,PP,PI
78,Gabriel Pires,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,gabriel-pires,0,G. Pires,1,266,0.0,5,0.0,,4.0,0.0,4,71898,False,Gabriel Appelt Pires,,,,,,,,,,,,,,,,,,,
79,Everson,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,everson,1,Everson,1,282,6.5,7,6.5,,12.98,-0.02,1,72294,True,Everson Felipe Marques Pires,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
80,Felipe Alves,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_e9UBywD.png,felipe-alves,0,F. Alves,1,266,0.0,6,0.0,,5.0,0.0,1,72372,False,Felipe Alves Raymundo,,,,,,,,,,,,,,,,,,,
81,Fernando Diniz,Fluminense,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_dcBENR5.png,fernando-diniz,1,F. Diniz,1,266,5.9,6,5.9,,11.12,0.12,6,72391,True,Fernando Diniz Silva,,,,,,,,,,,,,,,,,,,
82,Gustavo Campanharo,Atlético-GO,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_XGJ1uLI.png,gustavo-campanharo,0,G. Campanharo,1,373,0.0,6,0.0,,5.0,0.0,4,72497,False,Gustavo Campanharo,,,,,,,,,,,,,,,,,,,
83,Maguinho,Atlético-GO,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_204au3d.png,maguinho,1,Maguinho,1,373,3.4,3,3.4,,4.49,0.49,2,72532,True,Magno José da Silva,,,,,,,2.0,,,,,,1.0,,1.0,1.0,,,
84,Pedro Henrique,Corinthians,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_sB7v4Fv.png,pedro-henrique,0,P. Henrique,1,264,0.0,6,0.0,,6.0,0.0,5,72583,False,Pedro Henrique Konzen Medina da Silva,,,,,,,,,,,,,,,,,,,
85,Maurício Kozlinski,Fortaleza,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_EePQ79Y.png,mauricio-kozlinski,0,M. Kozlinski,1,356,0.0,6,0.0,,3.0,0.0,1,72595,False,Maurício Kozlinski,,,,,,,,,,,,,,,,,,,
86,Luiz Adriano,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_NutbSGS.png,luiz-adriano,1,L. Adriano,1,287,0.1,6,0.1,,4.15,-0.85,5,72772,True,Luiz Adriano de Souza da Silva,,,,1.0,,,,1.0,,,1.0,,,,,,,,
87,Fernandinho,Athlético-PR,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_G29hOpk.png,fernandinho,1,Fernandinho,1,293,10.5,7,10.5,,9.46,2.46,4,72775,True,Fernando Luiz Rosa,,,,2.0,,,2.0,1.0,,,,2.0,,,1.0,,,,
88,Wilker Ángel,Criciúma,https://s.sde.globo.com/media/person_role/2024/03/25/photo_FORMATO_i1tcVtm.png,wilker-angel,0,W. Ángel,1,288,0.0,7,0.0,,3.0,0.0,3,72801,False,Wílker José Ángel Romero,,,,,,,,,,,,,,,,,,,
89,Mercado,Internacional,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_o74D2pK.png,mercado,1,Mercado,1,285,1.9,7,1.9,,5.6,-0.4,3,72951,True,Gabriel Iván Mercado,,,1.0,1.0,,,2.0,,,,,,,,,,,,
