,atletas.slug,atletas.foto,atletas.variacao_num,atletas.pontos_num,atletas.apelido,atletas.atleta_id,atletas.clube_id,atletas.nome,atletas.status_id,atletas.media_num,atletas.preco_num,atletas.rodada_id,atletas.clube.id.full.name,atletas.posicao_id,atletas.apelido_abreviado,atletas.entrou_em_campo,atletas.jogos_num,atletas.minimo_para_valorizar,DS,FC,FD,FF,FS,FT,G,I,CA,A,SG,DE,DP,GS,PC,CV,PP,PS,GC,V
71,luiz-gustavo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,0.15,3.3,Luiz Gustavo,71536,276,Luiz Gustavo Dias,7,2.57,5.04,14,São Paulo,4,L. Gustavo,True,8,,11.0,10.0,5.0,6.0,3.0,,,,2.0,,,,,,,,,,,
72,weverton,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,-1.42,0.2,Weverton,71631,275,Weverton Pereira da Silva,7,5.12,10.34,14,Palmeiras,1,Weverton,True,14,,1.0,,,,1.0,,,,1.0,1.0,7.0,42.0,,11.0,,,,,,
73,raul-caceres,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,-0.19,2.4,Raúl Cáceres,71680,287,Raúl Alejandro Cáceres Bogado,6,3.56,5.41,14,Vitória,2,R. Cáceres,True,5,,7.0,2.0,,,,,,,,1.0,1.0,,,,,,,,,
74,gustavo-gomez,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,0.0,0.0,Gustavo Gómez,71684,275,Gustavo Raúl Gómez Portillo,6,5.02,10.8,14,Palmeiras,3,G. Gómez,False,6,,6.0,11.0,1.0,4.0,2.0,,1.0,2.0,3.0,1.0,3.0,,,,1.0,,,,1.0,
75,santiago-arias,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,0.0,0.0,Santiago Arias,71701,265,Santiago Arias Naranjo,6,3.32,5.58,14,Bahia,2,S. Arias,False,6,,5.0,6.0,,1.0,12.0,,,1.0,1.0,,2.0,,,,,,,,,
76,gabriel-pires,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,-0.48,1.7,Gabriel Pires,71898,266,Gabriel Appelt Pires,6,3.48,5.14,14,Fluminense,4,G. Pires,True,5,,13.0,8.0,1.0,2.0,5.0,,,1.0,1.0,,,,,,,,,,,
77,everson,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,0.0,0.0,Everson,72294,282,Everson Felipe Marques Pires,5,2.27,8.14,14,Atlético-MG,1,Everson,False,9,,,,,,3.0,,,,3.0,,3.0,17.0,,10.0,,,,,,
78,felipe-alves,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_e9UBywD.png,0.0,0.0,Felipe Alves,72372,266,Felipe Alves Raymundo,6,0.0,5.0,14,Fluminense,1,F. Alves,False,0,,,,,,,,,,,,,,,,,,,,,
79,gustavo-campanharo,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_XGJ1uLI.png,0.0,0.0,Gustavo Campanharo,72497,373,Gustavo Campanharo,5,0.0,5.0,14,Atlético-GO,4,G. Campanharo,False,0,,,,,,,,,,,,,,,,,,,,,
80,maguinho,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_204au3d.png,-0.69,-1.6,Maguinho,72532,373,Magno José da Silva,7,2.86,4.41,14,Atlético-GO,2,Maguinho,True,11,,13.0,12.0,2.0,4.0,8.0,,,1.0,1.0,1.0,2.0,,,,1.0,1.0,,,,
81,pedro-henrique,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_sB7v4Fv.png,0.78,6.0,Pedro Henrique,72583,264,Pedro Henrique Konzen Medina da Silva,6,2.33,5.69,14,Corinthians,5,P. Henrique,True,4,,2.0,2.0,,2.0,4.0,,,1.0,1.0,1.0,,,,,,,,,,
82,mauricio-kozlinski,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_EePQ79Y.png,0.0,0.0,Maurício Kozlinski,72595,356,Maurício Kozlinski,6,0.0,3.0,14,Fortaleza,1,M. Kozlinski,False,0,,,,,,,,,,,,,,,,,,,,,
