,atletas.foto,atletas.rodada_id,atletas.posicao_id,atletas.jogos_num,atletas.minimo_para_valorizar,atletas.clube_id,atletas.apelido_abreviado,atletas.slug,atletas.nome,atletas.apelido,atletas.entrou_em_campo,atletas.pontos_num,atletas.media_num,atletas.variacao_num,atletas.status_id,atletas.atleta_id,atletas.clube.id.full.name,atletas.preco_num,CA,DS,FC,FS,PC,A,FD,FF,FT,G,I,CV,SG,DE,GS,V,PP,PS,DP,GC
64,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,26,2,15,,266,D. Barbosa,diogo-barbosa,Diogo Barbosa Mendanha,Diogo Barbosa,False,0.0,2.15,0.0,6,70916,Fluminense,3.33,5.0,12.0,11.0,11.0,,,,1.0,,,,,4.0,,,,,,,
65,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,26,4,21,,285,B. Henrique,bruno-henrique,Bruno Henrique Corsini,Bruno Henrique,True,0.5,2.9,-0.12,7,70944,Internacional,5.41,3.0,23.0,37.0,15.0,,1.0,6.0,11.0,1.0,2.0,1.0,,,,,,,,,
66,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,26,4,15,,286,J. Carlos,jean-carlos,Jean Carlos Vicente,Jean Carlos,False,0.0,3.63,0.0,2,70958,Juventude,7.44,2.0,7.0,11.0,5.0,,1.0,4.0,9.0,,4.0,1.0,,,,,,,,,
67,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,26,4,12,,267,Payet,payet,Florent Dimitri Payet,Payet,True,1.8,3.19,-0.64,7,70984,Vasco,5.91,,10.0,8.0,13.0,,3.0,1.0,4.0,1.0,,2.0,,,,,,,,,
68,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,26,3,9,,373,P. Henrique,pedro-henrique,Pedro Henrique Pereira da Silva,Pedro Henrique,False,0.0,3.02,0.0,6,71038,Atlético-GO,4.73,3.0,11.0,8.0,4.0,,,2.0,,,,,,3.0,,,,,,,
69,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,26,3,23,,267,Maicon,maicon,Maicon Pereira Roque,Maicon,True,3.0,2.62,-0.53,7,71227,Vasco,4.42,4.0,20.0,11.0,7.0,,,1.0,1.0,,1.0,1.0,,6.0,,,,,,,
70,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,26,4,18,,276,L. Gustavo,luiz-gustavo,Luiz Gustavo Dias,Luiz Gustavo,True,0.5,2.38,-0.21,7,71536,São Paulo,4.49,3.0,23.0,24.0,17.0,,,7.0,7.0,1.0,,,,,,,,,,,
71,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,26,1,25,,275,Weverton,weverton,Weverton Pereira da Silva,Weverton,True,10.0,5.58,-0.4,7,71631,Palmeiras,11.43,1.0,1.0,,5.0,,1.0,,,,,,,12.0,89.0,17.0,,,,,
72,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,26,2,11,,287,R. Cáceres,raul-caceres,Raúl Alejandro Cáceres Bogado,Raúl Cáceres,True,7.1,3.6,0.96,7,71680,Vitória,6.09,,17.0,9.0,4.0,,1.0,,,,,1.0,,3.0,,,,,,,
73,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,26,3,16,,275,G. Gómez,gustavo-gomez,Gustavo Raúl Gómez Portillo,Gustavo Gómez,True,4.6,3.93,-0.26,7,71684,Palmeiras,8.8,6.0,14.0,31.0,11.0,1.0,2.0,1.0,8.0,,1.0,6.0,,7.0,,,,,,,1.0
74,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,26,2,14,,265,S. Arias,santiago-arias,Santiago Arias Naranjo,Santiago Arias,True,7.1,3.52,0.94,7,71701,Bahia,6.32,2.0,13.0,16.0,14.0,,,2.0,2.0,,,3.0,,6.0,,,,,,,
75,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,26,4,5,,266,G. Pires,gabriel-pires,Gabriel Appelt Pires,Gabriel Pires,False,0.0,3.48,0.0,6,71898,Fluminense,5.14,1.0,13.0,8.0,5.0,,,1.0,2.0,,,1.0,,,,,,,,,
76,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,26,1,14,,282,Everson,everson,Everson Felipe Marques Pires,Everson,True,-3.0,2.1,-0.64,7,72294,Atlético-MG,6.92,4.0,,,3.0,,,,,,,,,4.0,30.0,18.0,,,,,
77,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_e9UBywD.png,26,1,0,,266,F. Alves,felipe-alves,Felipe Alves Raymundo,Felipe Alves,False,0.0,0.0,0.0,6,72372,Fluminense,5.0,,,,,,,,,,,,,,,,,,,,
78,https://s.sde.globo.com/media/person_role/2024/07/08/photo_FORMATO_hLeY8f6.png,26,4,9,,282,Bernard,bernard,Bernard Anício Caldeira Duarte,Bernard,True,1.4,1.19,-0.22,6,72460,Atlético-MG,6.37,1.0,7.0,14.0,6.0,,,,2.0,1.0,,1.0,,,,,,,,,
79,https://s.sde.globo.com/media/person_role/2024/09/03/photo_FORMATO_Dy4LFfE.png,26,2,1,,263,A. Telles,alex-telles,Alex Nicolao Telles,Alex Telles,True,0.0,0.0,-0.86,6,72493,Botafogo,7.14,,,,,,,,,,,,,,,,,,,,
80,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_XGJ1uLI.png,26,4,2,,373,G. Campanharo,gustavo-campanharo,Gustavo Campanharo,Gustavo Campanharo,True,2.0,1.0,0.01,6,72497,Atlético-GO,4.51,,1.0,,,,,,1.0,,,,,,,,,,,,
