,atletas.atleta_id,atletas.foto,atletas.pontos_num,atletas.clube_id,atletas.clube.id.full.name,atletas.slug,atletas.minimo_para_valorizar,atletas.jogos_num,atletas.nome,atletas.preco_num,atletas.status_id,atletas.entrou_em_campo,atletas.apelido,atletas.rodada_id,atletas.variacao_num,atletas.apelido_abreviado,atletas.media_num,atletas.posicao_id,A,CA,DS,FC,FD,FF,FS,FT,G,I,PP,CV,SG,PC,PS,GC,DE,GS,V,DP
57,70360,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,11.1,280,Bragantino,eduardo-sasha,,21,Eduardo Colcenti Antunes,9.2,7,True,Eduardo Sasha,34,0.87,E. Sasha,4.45,5,3.0,6.0,8.0,15.0,17.0,16.0,29.0,1.0,4.0,3.0,,1.0,,,,,,,,
58,70449,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,0.0,286,Juventude,gabriel,,26,Gabriel Vasconcelos Ferreira,3.71,7,True,Gabriel,34,-0.16,Gabriel,2.22,1,,4.0,,1.0,,,4.0,,,,,1.0,4.0,1.0,,,84.0,40.0,,
59,70592,https://s.sde.globo.com/media/person_role/2024/07/08/photo_FORMATO_pq8QjaQ.png,2.9,275,Palmeiras,felipe-anderson,,16,Felipe Anderson Pereira Gomes,8.97,2,True,Felipe Anderson,34,-0.12,F. Anderson,5.06,4,2.0,,34.0,9.0,3.0,7.0,9.0,1.0,2.0,1.0,,,,,,,,,,
60,70666,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,0.0,1371,Cuiabá,marllon,,26,Marllon Gonçalves Jerônimo Borges,4.1,7,True,Marllon,34,-1.24,Marllon,2.91,3,,3.0,26.0,18.0,3.0,6.0,9.0,1.0,1.0,,,,6.0,2.0,1.0,,,,,
61,70788,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,1.0,285,Internacional,enner-valencia,,15,Enner Remberto Valencia Lastra,8.02,6,True,Enner Valencia,34,-0.08,E. Valencia,1.45,5,,1.0,4.0,7.0,5.0,6.0,13.0,1.0,,3.0,,,,,,,,,,
62,70916,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,0.0,266,Fluminense,diogo-barbosa,,18,Diogo Barbosa Mendanha,3.99,7,False,Diogo Barbosa,34,0.0,D. Barbosa,2.41,2,,6.0,16.0,13.0,,2.0,15.0,,,,,,5.0,,,,,,,
63,70944,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,3.2,285,Internacional,bruno-henrique,,28,Bruno Henrique Corsini,5.59,6,True,Bruno Henrique,34,-0.23,B. Henrique,2.79,4,1.0,3.0,33.0,43.0,10.0,13.0,17.0,1.0,2.0,1.0,,,,,,,,,,
64,70958,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,0.0,286,Juventude,jean-carlos,,18,Jean Carlos Vicente,6.91,6,True,Jean Carlos,34,-0.4,J. Carlos,3.07,4,1.0,3.0,7.0,13.0,5.0,10.0,6.0,,4.0,1.0,,,,,,,,,,
65,70984,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,2.8,267,Vasco,payet,,18,Florent Dimitri Payet,6.34,2,True,Payet,34,0.23,Payet,3.81,4,3.0,1.0,10.0,8.0,2.0,6.0,22.0,1.0,3.0,2.0,,,,,,,,,,
66,71038,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,0.0,373,Atlético-GO,pedro-henrique,,9,Pedro Henrique Pereira da Silva,4.73,6,False,Pedro Henrique,34,0.0,P. Henrique,3.02,3,,3.0,11.0,8.0,2.0,,4.0,,,,,,3.0,,,,,,,
