,atletas.foto,atletas.jogos_num,atletas.variacao_num,atletas.entrou_em_campo,atletas.apelido_abreviado,atletas.atleta_id,atletas.minimo_para_valorizar,atletas.apelido,atletas.clube.id.full.name,atletas.status_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.preco_num,atletas.media_num,atletas.pontos_num,atletas.nome,atletas.slug,A,CA,DS,FC,FD,FF,FS,G,I,SG,CV,FT,DE,GS,V,PS,PC,PP,GC,DP
64,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,13,0.27,True,Marchesín,70332,,Marchesín,Grêmio,7,20,284,1,6.53,3.75,6.0,Agustín Federico Marchesín,marchesin,,1.0,1.0,,,,1.0,,,5.0,,,35.0,12.0,,,,,,
65,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,10,0.0,False,E. Sasha,70360,,Eduardo Sasha,Bragantino,5,20,280,5,8.33,4.64,0.0,Eduardo Colcenti Antunes,eduardo-sasha,3.0,2.0,5.0,8.0,8.0,4.0,8.0,2.0,,,1.0,,,,,,,,,
66,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,15,0.09,True,Gabriel,70449,,Gabriel,Juventude,7,20,286,1,4.59,3.21,3.0,Gabriel Vasconcelos Ferreira,gabriel,,3.0,,,,,2.0,,,4.0,,,52.0,22.0,,,,,,
67,https://s.sde.globo.com/media/person_role/2024/07/08/photo_FORMATO_pq8QjaQ.png,4,-0.4,True,F. Anderson,70592,,Felipe Anderson,Palmeiras,7,20,275,4,9.1,3.47,4.2,Felipe Anderson Pereira Gomes,felipe-anderson,,,8.0,4.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,
68,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,14,-0.09,True,Marllon,70666,,Marllon,Cuiabá,7,20,1371,3,3.99,2.61,1.2,Marllon Gonçalves Jerônimo Borges,marllon,,2.0,15.0,10.0,2.0,2.0,5.0,1.0,,2.0,,,,,,,1.0,,,
69,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,2,-0.05,True,E. Valencia,70788,,Enner Valencia,Internacional,7,20,285,5,15.42,3.45,6.4,Enner Remberto Valencia Lastra,enner-valencia,,,1.0,1.0,,2.0,3.0,,1.0,,,1.0,,,,,,,,
70,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,13,-0.36,True,D. Barbosa,70916,,Diogo Barbosa,Fluminense,7,20,266,2,3.72,2.01,4.2,Diogo Barbosa Mendanha,diogo-barbosa,,4.0,10.0,7.0,,1.0,9.0,,,3.0,,,,,,,,,,
71,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,15,-0.43,True,B. Henrique,70944,,Bruno Henrique,Internacional,7,20,285,4,5.5,2.86,0.9,Bruno Henrique Corsini,bruno-henrique,1.0,2.0,19.0,31.0,5.0,5.0,11.0,1.0,1.0,,,1.0,,,,,,,,
72,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,13,-0.34,True,J. Carlos,70958,,Jean Carlos,Juventude,7,20,286,4,7.85,4.12,0.9,Jean Carlos Vicente,jean-carlos,1.0,2.0,6.0,10.0,4.0,9.0,5.0,4.0,1.0,,,,,,,,,,,
73,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,6,0.36,True,Payet,70984,,Payet,Vasco,6,20,267,4,6.4,3.45,3.4,Florent Dimitri Payet,payet,2.0,,4.0,2.0,1.0,1.0,3.0,,,,,1.0,,,,,,,,
74,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,7,-0.94,True,P. Henrique,71038,,Pedro Henrique,Atlético-GO,3,20,373,3,3.46,2.39,-0.1,Pedro Henrique Pereira da Silva,pedro-henrique,,3.0,8.0,7.0,1.0,,2.0,,,2.0,,,,,,,,,,
75,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,17,-0.11,True,Maicon,71227,,Maicon,Vasco,7,20,267,3,3.97,2.47,0.0,Maicon Pereira Roque,maicon,,3.0,12.0,8.0,1.0,1.0,6.0,1.0,1.0,4.0,,,,,,,,,,
76,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,13,0.41,True,L. Gustavo,71536,,Luiz Gustavo,São Paulo,7,20,276,4,5.79,3.11,7.3,Luiz Gustavo Dias,luiz-gustavo,,3.0,22.0,18.0,7.0,7.0,11.0,,,,,1.0,,,,,,,,
77,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,19,0.0,False,Weverton,71631,,Weverton,Palmeiras,7,20,275,1,10.23,5.0,0.0,Weverton Pereira da Silva,weverton,1.0,1.0,1.0,,,,4.0,,,9.0,,,57.0,14.0,,,,,,
78,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,8,0.0,False,R. Cáceres,71680,,Raúl Cáceres,Vitória,6,20,287,2,5.24,3.0,0.0,Raúl Alejandro Cáceres Bogado,raul-caceres,1.0,,12.0,6.0,,,3.0,,1.0,1.0,,,,,,,,,,
79,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,11,0.0,False,G. Gómez,71684,,Gustavo Gómez,Palmeiras,7,20,275,3,9.02,4.61,0.0,Gustavo Raúl Gómez Portillo,gustavo-gomez,2.0,4.0,9.0,20.0,1.0,7.0,9.0,1.0,4.0,5.0,,,,,,,1.0,,1.0,
80,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,8,0.0,False,S. Arias,71701,,Santiago Arias,Bahia,7,20,265,2,5.14,2.63,0.0,Santiago Arias Naranjo,santiago-arias,,1.0,6.0,10.0,1.0,1.0,12.0,,2.0,2.0,,,,,,,,,,
81,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,5,0.0,False,G. Pires,71898,,Gabriel Pires,Fluminense,6,20,266,4,5.14,3.48,0.0,Gabriel Appelt Pires,gabriel-pires,,1.0,13.0,8.0,1.0,2.0,5.0,,1.0,,,,,,,,,,,
