,atletas.slug,atletas.posicao_id,atletas.rodada_id,atletas.entrou_em_campo,atletas.clube_id,atletas.atleta_id,atletas.media_num,atletas.apelido,atletas.clube.id.full.name,atletas.pontos_num,atletas.status_id,atletas.variacao_num,atletas.foto,atletas.apelido_abreviado,atletas.preco_num,atletas.nome,atletas.minimo_para_valorizar,atletas.jogos_num,CA,DS,FC,FD,FF,FS,SG,V,G,I,CV,A,FT,PS,DE,GS,PP,PC,DP,GC
56,marchesin,1,38,False,284,70332,4.19,Marchesín,Grêmio,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,Marchesín,6.46,Agustín Federico Marchesín,,24,4.0,1.0,,,,7.0,7.0,,,,,,,,76.0,25.0,,,2.0,
57,eduardo-sasha,5,38,True,280,70360,5.16,Eduardo Sasha,Bragantino,8.7,7,-0.84,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,E. Sasha,9.36,Eduardo Colcenti Antunes,,25,7.0,9.0,19.0,17.0,18.0,35.0,,,8.0,4.0,1.0,3.0,1.0,,,,,,,
58,gabriel,1,38,True,286,70449,1.92,Gabriel,Juventude,0.0,7,0.09,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,Gabriel,3.55,Gabriel Vasconcelos Ferreira,,29,5.0,,1.0,,,4.0,4.0,,,,1.0,,,,86.0,43.0,,1.0,,
59,felipe-anderson,4,38,False,275,70592,5.12,Felipe Anderson,Palmeiras,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/07/08/photo_FORMATO_pq8QjaQ.png,F. Anderson,9.28,Felipe Anderson Pereira Gomes,,18,,40.0,10.0,5.0,8.0,11.0,,,2.0,1.0,,2.0,1.0,,,,,,,
60,marllon,3,38,False,1371,70666,2.8,Marllon,Cuiabá,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,Marllon,4.2,Marllon Gonçalves Jerônimo Borges,,28,3.0,28.0,19.0,3.0,6.0,10.0,6.0,,1.0,1.0,,,1.0,1.0,,,,2.0,,
61,enner-valencia,5,38,True,285,70788,2.38,Enner Valencia,Internacional,2.4,7,-0.22,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,E. Valencia,8.39,Enner Remberto Valencia Lastra,,19,1.0,6.0,11.0,7.0,6.0,15.0,,,1.0,4.0,,1.0,3.0,,,,,,,
62,diogo-barbosa,2,38,False,266,70916,2.74,Diogo Barbosa,Fluminense,0.0,6,0.0,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,D. Barbosa,4.14,Diogo Barbosa Mendanha,,20,6.0,20.0,13.0,,2.0,18.0,6.0,,,,,,,,,,,,,
63,bruno-henrique,4,38,True,285,70944,2.59,Bruno Henrique,Internacional,0.8,7,-0.02,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,B. Henrique,5.17,Bruno Henrique Corsini,,32,5.0,38.0,50.0,11.0,15.0,17.0,,,2.0,1.0,,1.0,1.0,,,,,,,
64,jean-carlos,4,38,True,286,70958,2.81,Jean Carlos,Juventude,0.5,7,-0.14,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,J. Carlos,6.79,Jean Carlos Vicente,,20,3.0,7.0,13.0,5.0,10.0,8.0,,,4.0,1.0,,1.0,,,,,,,,
65,payet,4,38,True,267,70984,3.18,Payet,Vasco,0.5,6,-0.04,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,Payet,5.72,Florent Dimitri Payet,,22,2.0,10.0,9.0,2.0,7.0,26.0,,,3.0,2.0,,3.0,1.0,,,,,,,
